title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"Star Trek VI: The Undiscovered Country",movie,"Action, Adventure, Sci-Fi",1991,tt0102975,7.2,82074,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
"The Big Blue",movie,"Adventure, Drama, Sport",1988,tt0095250,7.5,56065,DE
Saw,movie,"Horror, Mystery, Thriller",2004,tt0387564,7.6,480097,IN
"Blown Away",movie,"Action, Crime, Drama",1994,tt0109303,6.2,34469,"CL, CO, MX"
"Minority Report",movie,"Action, Crime, Mystery",2002,tt0181689,7.6,593523,"CA, FR, US"
"Jackie Brown",movie,"Crime, Drama, Thriller",1997,tt0119396,7.5,382704,"BR, CL, CO, MX"
"Sin City",movie,"Crime, Thriller",2005,tt0401792,8,800533,DE
"Sin City: A Dame to Kill For",movie,"Action, Crime, Thriller",2014,tt0458481,6.5,172650,"CL, CO, IN, MX, US"
"Star Trek: Generations",movie,"Action, Adventure, Mystery",1994,tt0111280,6.6,88213,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,806179,DE
"Back to the Future Part III",movie,"Adventure, Comedy, Sci-Fi",1990,tt0099088,7.4,491140,AU
Braveheart,movie,"Biography, Drama, War",1995,tt0112573,8.3,1109284,"CA, US"
"Star Trek: First Contact",movie,"Action, Adventure, Drama",1996,tt0117731,7.6,133659,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
"Star Trek: Insurrection",movie,"Action, Adventure, Sci-Fi",1998,tt0120844,6.4,80471,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
"Star Trek: Nemesis",movie,"Action, Adventure, Sci-Fi",2002,tt0253754,6.4,85001,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
"Mean Streets",movie,"Crime, Drama, Thriller",1973,tt0070379,7.2,121934,DE
"The Wages of Fear",movie,"Adventure, Drama, Thriller",1953,tt0046268,8.1,68112,GB
"North by Northwest",movie,"Action, Adventure, Mystery",1959,tt0053125,8.3,352414,CA
"Saw III",movie,"Horror, Mystery, Thriller",2006,tt0489270,6.2,217458,"BR, CL, CO, IN, MX"
"Saw II",movie,"Horror, Mystery",2005,tt0432348,6.6,282945,"BR, CL, CO, IN, MX"
"Ali: Fear Eats the Soul",movie,"Drama, Romance",1974,tt0071141,8,24499,"DE, GB"
"Indiana Jones and the Kingdom of the Crystal Skull",movie,"Action, Adventure",2008,tt0367882,6.2,497167,"AR, AU, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, US, VE"
"The Terminator",movie,"Action, Adventure, Sci-Fi",1984,tt0088247,8.1,945014,"BR, CL, CO, MX, US"
Volver,movie,"Comedy, Drama",2006,tt0441909,7.6,108775,DE
"The Outsiders",movie,"Crime, Drama",1983,tt0086066,7,101229,"DE, GB"
"Stand by Me",movie,"Adventure, Comedy, Drama",1986,tt0092005,8.1,452795,US
"Muriel's Wedding",movie,"Comedy, Drama",1994,tt0110598,7.2,42895,DE
"The Godfather",movie,"Crime, Drama",1972,tt0068646,9.2,2064499,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
"The Godfather Part II",movie,"Crime, Drama",1974,tt0071562,9,1394409,"AT, AU, CA, CH, DE, FR, GB, IE, IT, US"
"Natural Born Killers",movie,"Action, Crime, Romance",1994,tt0110632,7.2,256283,DE
"The Godfather Part III",movie,"Crime, Drama",1990,tt0099674,7.6,431709,"AR, BO, BR, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, US, VE"
"King Kong",movie,"Adventure, Horror",1933,tt0024216,7.9,92524,DE
"About a Boy",movie,"Comedy, Drama, Romance",2002,tt0276751,7.1,193438,AU
"In China They Eat Dogs",movie,"Action, Comedy, Crime",1999,tt0180748,7.3,23342,DE
Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,241828,"AT, CA, CH, DE, FR, GB, IE, IT, US"
"King Kong",movie,"Action, Adventure, Romance",2005,tt0360717,7.2,453495,"AU, US"
"Stolen Kisses",movie,"Comedy, Drama, Romance",1968,tt0062695,7.5,15534,"DE, GB"
"Antoine and Colette",movie,"Comedy, Drama, Romance",1962,tt1180329,7.5,6611,DE
"Bed & Board",movie,"Comedy, Drama, Romance",1970,tt0065651,7.4,10879,"DE, GB"
"Love on the Run",movie,"Comedy, Drama, Romance",1979,tt0078771,7,7689,"DE, GB"
"The King of Comedy",movie,"Comedy, Crime, Drama",1982,tt0085794,7.8,122758,DE
Contempt,movie,"Drama, Romance",1963,tt0057345,7.4,36812,GB
"Live Flesh",movie,Drama,1997,tt0118819,7.3,34252,DE
Breathless,movie,"Crime, Drama",1960,tt0053472,7.7,89591,"DE, GB"
Fargo,movie,"Crime, Thriller",1996,tt0116282,8.1,739461,"BR, CL, CO, MX"
"Terminator 2: Judgment Day",movie,"Action, Adventure, Sci-Fi",1991,tt0103064,8.6,1201795,"GB, US"
"The Apartment",movie,"Comedy, Drama, Romance",1960,tt0053604,8.3,201575,"CL, CO, MX"
"Swimming Pool",movie,"Crime, Drama, Mystery",2003,tt0324133,6.7,49137,DE
"Beverly Hills Cop III",movie,"Action, Comedy, Crime",1994,tt0109254,5.5,96041,"AR, AT, AU, BO, BR, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
"Rome, Open City",movie,"Drama, Thriller, War",1945,tt0038890,8,29891,GB
"The Celebration",movie,Drama,1998,tt0154420,8,95520,DE
"Bruce Almighty",movie,"Comedy, Fantasy",2003,tt0315327,6.8,442921,US
"Once Upon a Time in America",movie,"Crime, Drama",1984,tt0087843,8.3,385395,US
"Snow Cake",movie,"Drama, Romance",2006,tt0448124,7.4,13429,US
"The Million Dollar Hotel",movie,"Drama, Mystery, Thriller",2000,tt0120753,5.7,22672,"DE, US"
Insomnia,movie,"Drama, Mystery, Thriller",2002,tt0278504,7.2,324483,US
"Snakes on a Plane",movie,"Action, Adventure, Crime",2006,tt0417148,5.5,146086,"CA, US"
"Jurassic Park",movie,"Action, Adventure, Sci-Fi",1993,tt0107290,8.2,1092235,AU
"The Lost World: Jurassic Park",movie,"Action, Adventure, Sci-Fi",1997,tt0119567,6.6,451491,AU
"Jurassic Park III",movie,"Action, Adventure, Sci-Fi",2001,tt0163025,5.9,346537,AU
Bollywood/Hollywood,movie,"Comedy, Drama, Musical",2002,tt0303785,5.9,2592,CA
Magnolia,movie,Drama,1999,tt0175880,8,333372,US
"Duck, You Sucker!",movie,"Drama, War, Western",1971,tt0067140,7.6,38415,BR
"Night on Earth",movie,"Comedy, Drama",1991,tt0102536,7.7,67425,DE
"Eyes Wide Shut",movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,386034,US
"Seven Samurai",movie,"Action, Drama",1954,tt0047478,8.6,374303,GB
Head-On,movie,"Drama, Romance",2004,tt0347048,7.9,58558,DE
"To Catch a Thief",movie,"Mystery, Romance, Thriller",1955,tt0048728,7.4,81771,"DE, US"
"Das Boot",movie,"Drama, War",1981,tt0082096,8.4,269408,GB
"Inside Man",movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,404849,"AU, US"
"Lisbon Story",movie,"Drama, Music",1994,tt0110361,7.1,5535,DE
"A Fistful of Dollars",movie,"Action, Drama, Western",1964,tt0058461,7.9,238518,BR
Chocolat,movie,"Drama, Romance",2000,tt0241303,7.2,204501,US
"Kill Bill: Vol. 2",movie,"Action, Crime, Thriller",2004,tt0378194,8,822631,"BR, CL, CO, MX"
"Basic Instinct",movie,"Drama, Mystery, Thriller",1992,tt0103772,7.1,224485,GB
"The Straight Story",movie,"Biography, Drama",1999,tt0166896,8,99640,DE
"La haine",movie,"Crime, Drama",1995,tt0113247,8.1,203547,GB
"The English Patient",movie,"Drama, Romance, War",1996,tt0116209,7.4,206041,US
8½,movie,Drama,1963,tt0056801,8,127182,"DE, GB"
"The Pianist",movie,"Biography, Drama, Music",2002,tt0253474,8.5,938008,"BR, CL, CO, DE, GB, IN, MX"
"My Uncle",movie,Comedy,1958,tt0050706,7.7,24677,DE
"The Good, the Bad and the Ugly",movie,"Adventure, Drama, Western",1966,tt0060196,8.8,829654,"BR, CL, CO, MX"
"The Day After Tomorrow",movie,"Action, Adventure, Sci-Fi",2004,tt0319262,6.5,488041,US
"Cube²: Hypercube",movie,"Horror, Mystery, Sci-Fi",2002,tt0285492,5.5,71248,IN
"La Dolce Vita",movie,"Comedy, Drama",1960,tt0053779,8,79694,DE
Caché,movie,"Drama, Mystery, Thriller",2005,tt0387898,7.3,86677,GB
"Leaving Las Vegas",movie,"Drama, Romance",1995,tt0113627,7.5,137682,DE
"The Idiots",movie,"Comedy, Drama",1998,tt0154421,6.7,34487,DE
"A Beautiful Mind",movie,"Biography, Drama, Mystery",2001,tt0268978,8.2,1004227,"AT, CH, FR, GB, IE, IT"
"As It Is in Heaven",movie,"Comedy, Drama, Music",2004,tt0382330,7.5,18466,DE
"Stranger Than Paradise",movie,"Comedy, Drama",1984,tt0088184,7.4,41343,DE
Shaft,movie,"Action, Crime, Thriller",2000,tt0162650,6,81653,US
"Good Will Hunting",movie,"Drama, Romance",1997,tt0119217,8.3,1101393,"AU, DE, US"
"The Seventh Seal",movie,"Drama, Fantasy",1957,tt0050976,8.1,202883,"DE, GB"
"The Green Mile",movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1444042,AU
"Cléo from 5 to 7",movie,"Comedy, Drama, Music",1962,tt0055852,7.8,28466,GB
"Reservoir Dogs",movie,"Crime, Thriller",1992,tt0105236,8.3,1110591,"BR, CL, CO, IN, MX"
"Love Actually",movie,"Comedy, Drama, Romance",2003,tt0314331,7.6,538326,"AU, US"
"Notting Hill",movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,352805,AU
Requiem,movie,"Drama, Horror",2006,tt0454931,6.9,6512,US
Casino,movie,"Crime, Drama",1995,tt0112641,8.2,577084,"AU, DE"
"The Blues Brothers",movie,"Action, Adventure, Comedy",1980,tt0080455,7.9,218307,AU
Flashdance,movie,"Drama, Music, Romance",1983,tt0085549,6.2,60776,"AR, AT, BO, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Psycho,movie,"Horror, Mystery, Thriller",1960,tt0054215,8.5,735266,AU
"There's Something About Mary",movie,"Comedy, Romance",1998,tt0129387,7.1,334241,US
Rashomon,movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,184804,GB
"The Poseidon Adventure",movie,"Action, Adventure, Drama",1972,tt0069113,7.1,50209,US
"The Mummy",movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,472531,AU
"The Ring",movie,"Horror, Mystery",2002,tt0298130,7.1,383545,IT
"Apollo 13",movie,"Adventure, Drama, History",1995,tt0112384,7.7,321108,"AU, US"
"The Birds",movie,"Drama, Horror, Mystery",1963,tt0056869,7.6,209549,AU
"To Die For",movie,"Comedy, Crime, Drama",1995,tt0114681,6.8,54860,US
Jaws,movie,"Adventure, Drama, Thriller",1975,tt0073195,8.1,678795,AU
"Jaws: The Revenge",movie,"Adventure, Horror, Thriller",1987,tt0093300,3,50725,AU
"2 Fast 2 Furious",movie,"Action, Crime, Thriller",2003,tt0322259,5.9,303664,AU
"Silent Hill",movie,"Horror, Mystery",2006,tt0384537,6.5,249101,CA
"The Hours",movie,"Drama, Romance",2002,tt0274558,7.5,142521,"AU, US"
"The Da Vinci Code",movie,"Mystery, Thriller",2006,tt0382625,6.6,465733,US
"The Conversation",movie,"Drama, Mystery, Thriller",1974,tt0071360,7.7,125331,"AT, CH, DE, FR, GB, IE, IT, US"
"The Terminal",movie,"Comedy, Drama, Romance",2004,tt0362227,7.4,505254,"AT, CA, CH, DE, FR, GB, IE, IT, US"
Titanic,movie,"Drama, Romance",1997,tt0120338,7.9,1312024,"CA, US"
"Sunset Boulevard",movie,"Drama, Film-Noir",1950,tt0043014,8.4,241687,"AT, CH, DE, FR, GB, IE, IT, US"
"E.T. the Extra-Terrestrial",movie,"Adventure, Family, Sci-Fi",1982,tt0083866,7.9,445946,AU
Munich,movie,"Action, Drama, History",2005,tt0408306,7.5,243144,"AT, CH, DE, FR, GB, IE, IT"
"Wild Strawberries",movie,"Drama, Romance",1957,tt0050986,8.1,117312,"DE, GB"
"Wild Things",movie,"Crime, Drama, Mystery",1998,tt0120890,6.6,133848,US
Ghostbusters,movie,"Action, Comedy, Fantasy",1984,tt0087332,7.8,462571,US
Grease,movie,"Comedy, Musical, Romance",1978,tt0077631,7.2,307664,"AT, CA, CH, DE, FR, GB, IE, IT, US"
"The Ninth Gate",movie,"Mystery, Thriller",1999,tt0142688,6.7,201268,"BR, CL, CO, IN, MX"
"A Fish Called Wanda",movie,"Comedy, Crime",1988,tt0095159,7.5,156597,BR
"The Killing Fields",movie,"Biography, Drama, History",1984,tt0087553,7.8,60573,DE
"An Andalusian Dog",movie,"Fantasy, Horror, Short",1929,tt0020530,7.6,54574,GB
Sunrise,movie,"Drama, Romance",1927,tt0018455,8.1,54569,GB
"Bridget Jones's Diary",movie,"Comedy, Drama, Romance",2001,tt0243155,6.8,268831,"AU, BR, CL, CO, MX"
"Angel Heart",movie,"Horror, Mystery, Thriller",1987,tt0092563,7.2,97934,"GB, US"
"Life Is Beautiful",movie,"Comedy, Drama, Romance",1997,tt0118799,8.6,758504,IT
"Catch Me If You Can",movie,"Biography, Crime, Drama",2002,tt0264464,8.1,1128965,"CA, US"
"Battleship Potemkin",movie,"Drama, History, Thriller",1925,tt0015648,7.9,62391,GB
"A.I. Artificial Intelligence",movie,"Adventure, Drama, Sci-Fi",2001,tt0212720,7.2,327387,"AT, CA, CH, DE, FR, GB, IE, IT, US"
"Beauty and the Beast",movie,"Drama, Fantasy, Romance",1946,tt0038348,7.9,28572,GB
"Belle de Jour",movie,"Drama, Romance",1967,tt0061395,7.6,50192,"DE, GB"
"Nosferatu: A Symphony of Horror",movie,"Fantasy, Horror",1922,tt0013442,7.8,109040,GB
"Paris, Texas",movie,Drama,1984,tt0087884,8.1,125591,GB
"The Marriage of Maria Braun",movie,Drama,1979,tt0079095,7.7,15270,"DE, GB"
"Saw IV",movie,"Horror, Mystery, Thriller",2007,tt0890870,5.9,168520,"BR, CO, IN, MX"
Oldboy,movie,"Action, Drama, Mystery",2003,tt0364569,8.3,655561,"AU, DE, GB, IT"
"Pulp Fiction",movie,"Crime, Drama",1994,tt0110912,8.9,2273949,"AT, CH, DE, FR, GB, IE, IT, US"
"Dead Man Walking",movie,"Crime, Drama",1995,tt0112818,7.5,103167,"BR, CL, CO, MX"
Pickpocket,movie,"Crime, Drama",1959,tt0053168,7.6,25955,GB
"Meet the Fockers",movie,"Comedy, Romance",2004,tt0290002,6.3,291323,"AT, AU, CH, DE, FR, GB, IE, IT"
"Effi Briest",movie,"Drama, History",1974,tt0071458,6.9,2794,DE
"The Piano",movie,"Drama, Music, Romance",1993,tt0107822,7.5,96782,"DE, GB"
Together,movie,"Comedy, Drama, Romance",2000,tt0203166,7.4,24669,GB
"Top Gun",movie,"Action, Drama",1986,tt0092099,6.9,515260,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GB, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
"Shaun of the Dead",movie,"Comedy, Horror",2004,tt0365748,7.9,608331,"AU, US"
Face/Off,movie,"Action, Crime, Sci-Fi",1997,tt0119094,7.3,408289,"CA, US"
"From Dusk Till Dawn",movie,"Action, Crime, Horror",1996,tt0116367,7.2,348132,"AT, CH, DE, FR, GB, IE, IT"
"The Evil Dead",movie,Horror,1981,tt0083907,7.4,238776,US
"Evil Dead II",movie,"Comedy, Horror",1987,tt0092991,7.7,186666,"AT, BR, CH, CL, CO, MX"
Goodfellas,movie,"Biography, Crime, Drama",1990,tt0099685,8.7,1289034,US
"A Trip to the Moon",movie,"Action, Adventure, Comedy",1902,tt0000417,8.1,57243,DE
"The Rules of the Game",movie,"Comedy, Drama",1939,tt0031885,7.9,31871,GB
"The Grand Illusion",movie,"Drama, War",1937,tt0028950,8.1,39550,DE
"Monsieur Hulot's Holiday",movie,Comedy,1953,tt0046487,7.3,20658,DE
Vampyr,movie,"Fantasy, Horror",1932,tt0023649,7.4,21155,GB
"The Passion of Joan of Arc",movie,"Biography, Drama, History",1928,tt0019254,8.1,62435,"DE, GB"
Gandhi,movie,"Biography, Drama, History",1982,tt0083987,8,241907,AU
Platoon,movie,"Drama, War",1986,tt0091763,8.1,447212,"BR, CL, CO, MX"
Persona,movie,"Drama, Thriller",1966,tt0060827,8,133502,"DE, GB"
"Annaluise & Anton",movie,"Comedy, Drama, Family",1999,tt0161935,7,1079,DE
"Roman Holiday",movie,"Comedy, Drama, Romance",1953,tt0046250,8,150057,"AT, CH, DE, FR, GB, IE, IT"
"Rosemary's Baby",movie,"Drama, Horror",1968,tt0063522,8,243409,"AR, AT, AU, BO, BR, CA, CH, CL, CO, CR, DE, DO, EC, FR, GT, HN, IE, IT, MX, NI, PA, PE, PY, SV, US, VE"
Shrek,movie,"Adventure, Animation, Comedy",2001,tt0126029,7.9,753488,AU
"Shrek 2",movie,"Adventure, Animation, Comedy",2004,tt0298148,7.4,517311,AU
"Shrek the Third",movie,"Adventure, Animation, Comedy",2007,tt0413267,6.1,339512,AU
Airplane!,movie,Comedy,1980,tt0080339,7.7,267399,"AT, AU, CA, CH, DE, FR, GB, IE, IT, US"
"An American Werewolf in London",movie,"Comedy, Horror",1981,tt0082010,7.5,125630,"BR, CL, CO, IN, MX"
"Animal Farm",movie,"Comedy, Drama, Family",1999,tt0204824,6,6586,AU
JFK,movie,"Drama, History, Thriller",1991,tt0102138,8,173290,DE
"Judgment at Nuremberg",movie,"Drama, War",1961,tt0055031,8.3,87680,"CL, CO, MX"
"The Bridge on the River Kwai",movie,"Adventure, Drama, War",1957,tt0050212,8.1,237227,AU
Chinatown,movie,"Drama, Mystery, Thriller",1974,tt0071315,8.1,357383,"AT, CH, DE, FR, GB, IE, IT"
M,movie,"Crime, Mystery, Thriller",1931,tt0022100,8.3,172244,GB
Dune,movie,"Action, Adventure, Sci-Fi",1984,tt0087182,6.3,183558,"BR, CL, CO, IN, MX"
Dragonslayer,movie,"Action, Adventure, Fantasy",1981,tt0082288,6.6,20479,US
"Enemy at the Gates",movie,"Action, Drama, War",2001,tt0215750,7.5,281554,US
"Black Hawk Down",movie,"Action, Drama, History",2001,tt0265086,7.7,431415,"CA, US"
"Saving Private Ryan",movie,"Drama, War",1998,tt0120815,8.6,1530786,"CA, US"
WarGames,movie,"Action, Drama, Sci-Fi",1983,tt0086567,7.1,113764,"CL, CO, MX"
"Total Recall",movie,"Action, Adventure, Sci-Fi",1990,tt0100802,7.5,361320,"BR, CL, CO, MX, US"
"The Running Man",movie,"Action, Sci-Fi, Thriller",1987,tt0093894,6.6,171618,US
"Finding Neverland",movie,"Biography, Drama, Family",2004,tt0308644,7.7,213415,US
Sliver,movie,"Drama, Thriller",1993,tt0108162,5.1,34755,"AT, CH, DE, FR, GB, IE, IT"
Tsotsi,movie,"Crime, Drama",2005,tt0468565,7.2,31801,DE
Hook,movie,"Adventure, Comedy, Family",1991,tt0102057,6.8,277829,US
"A Few Good Men",movie,"Drama, Thriller",1992,tt0104257,7.7,294953,US
"Coffee and Cigarettes",movie,"Comedy, Drama, Music",2003,tt0379217,7,68341,DE
Crash,movie,Drama,1996,tt0115964,6.4,67854,AU
"The Flintstones",movie,"Comedy, Family, Fantasy",1994,tt0109813,5,87978,AU
"The Flintstones in Viva Rock Vegas",movie,"Comedy, Family, Romance",2000,tt0158622,3.7,25938,AU
Delicatessen,movie,"Comedy, Crime",1991,tt0101700,7.5,91162,DE
"Bringing Up Baby",movie,Comedy,1938,tt0029947,7.8,67147,"DE, US"
"City Lights",movie,"Comedy, Drama, Romance",1931,tt0021749,8.5,200204,DE
"The Thomas Crown Affair",movie,"Crime, Drama, Romance",1968,tt0063688,6.9,28969,"BR, CL, CO, MX"
"The Thomas Crown Affair",movie,"Crime, Romance, Thriller",1999,tt0155267,6.8,102373,"BR, CL, CO, MX"
"The Great Dictator",movie,"Comedy, Drama, War",1940,tt0032553,8.4,242053,DE
"Mother India",movie,"Action, Comedy, Drama",1957,tt0050188,7.8,9983,"AU, IN, US"
"Dead Man",movie,"Adventure, Comedy, Drama",1995,tt0112817,7.5,104598,DE
"Dawn of the Dead",movie,"Action, Horror",2004,tt0363547,7.2,277686,"AU, US"
"Do the Right Thing",movie,"Comedy, Drama",1989,tt0097216,7.9,115381,US
